COUNTING TRUST:ctrust,COUNTING UNTRUST:cuntrust,LAST TIME : last,TRANSACTION CONTEXT:context,TRUST SCORE: score
4,1,4,100,untrustworthy
4,1,4,100,untrustworthy
1,4,4,100,trustworthy
2,1,4,100,trustworthy
3,1,4,100,trustworthy
4,1,4,100,untrustworthy
1,4,4,100,trustworthy
2,1,4,100,trustworthy
3,1,4,100,trustworthy
4,1,4,100,untrustworthy
1,4,4,100,trustworthy
2,1,4,100,trustworthy
3,1,4,100,trustworthy
4,1,4,100,untrustworthy
1,4,4,100,trustworthy
1,4,4,100,trustworthy
2,1,4,100,trustworthy
3,1,4,100,trustworthy
4,1,4,100,untrustworthy
1,3,4,100,trustworthy
2,1,4,100,trustworthy
3,1,4,100,trustworthy
4,1,4,100,untrustworthy
1,3,4,100,trustworthy
2,1,4,100,trustworthy
3,1,4,100,trustworthy
4,1,4,100,untrustworthy
1,3,4,100,trustworthy
2,1,4,100,trustworthy
3,1,4,100,trustworthy
4,1,4,100,untrustworthy
1,3,4,100,trustworthy
2,1,4,100,trustworthy
3,1,4,100,trustworthy
4,1,4,100,untrustworthy
1,3,4,100,trustworthy
1,4,4,100,trustworthy
2,1,4,100,trustworthy
3,1,4,100,trustworthy
4,1,4,100,untrustworthy
1,3,4,100,trustworthy
2,1,4,100,trustworthy
3,1,4,100,trustworthy
4,1,4,100,untrustworthy
1,3,4,100,trustworthy
1,4,4,100,trustworthy
2,1,4,100,trustworthy
3,1,4,100,trustworthy
4,1,4,100,untrustworthy
1,3,4,100,trustworthy
1,4,4,100,trustworthy
2,1,4,100,trustworthy
3,1,4,100,trustworthy
4,1,4,100,untrustworthy
1,3,4,100,trustworthy
1,4,4,100,trustworthy
2,1,4,100,trustworthy
3,1,4,100,trustworthy
4,1,4,100,untrustworthy
1,3,4,100,trustworthy
1,4,4,100,trustworthy
2,1,4,100,trustworthy
3,1,4,100,trustworthy
4,1,4,100,untrustworthy
1,3,4,100,trustworthy
2,1,4,100,trustworthy
3,1,4,100,trustworthy
4,1,4,100,untrustworthy
1,3,4,100,trustworthy
2,1,4,100,trustworthy
3,1,4,100,trustworthy
4,1,4,100,untrustworthy
1,3,4,100,trustworthy
1,4,4,100,trustworthy
2,1,4,100,trustworthy
3,1,4,100,trustworthy
4,1,4,100,untrustworthy
1,3,4,100,trustworthy
2,1,4,100,trustworthy
3,1,4,100,trustworthy
4,1,4,100,untrustworthy
1,3,4,100,trustworthy
2,1,4,100,trustworthy
3,1,4,100,trustworthy
4,1,4,100,untrustworthy
1,3,4,100,trustworthy
1,4,4,100,trustworthy
2,1,4,100,trustworthy
3,1,4,100,trustworthy
4,1,4,100,untrustworthy
1,3,4,100,trustworthy
1,4,4,100,trustworthy
2,1,4,100,trustworthy
3,1,4,100,trustworthy
4,1,4,100,untrustworthy
1,3,4,100,trustworthy
2,1,4,100,trustworthy
3,1,4,100,trustworthy
4,1,4,200,trustworthy
1,4,1,300,untrustworthy
4,1,4,200,trustworthy
4,1,3,200,trustworthy
4,1,3,200,trustworthy
1,5,4,300,untrustworthy
1,5,4,300,untrustworthy
4,1,2,200,trustworthy
4,1,2,200,trustworthy
4,1,2,200,trustworthy
1,4,4,300,untrustworthy
1,4,1,300,untrustworthy
4,1,3,200,trustworthy
4,1,2,200,trustworthy
4,1,2,200,trustworthy
4,1,2,200,trustworthy
1,4,4,300,untrustworthy
1,4,1,300,untrustworthy
4,1,3,200,trustworthy
4,1,1,200,trustworthy
4,1,1,200,trustworthy
1,4,4,300,untrustworthy
1,4,1,300,untrustworthy
4,1,3,200,trustworthy
4,1,1,200,trustworthy
4,1,1,200,trustworthy
4,1,1,200,trustworthy
1,4,4,300,untrustworthy
1,4,1,300,untrustworthy
4,1,3,200,trustworthy
4,1,1,200,trustworthy
4,1,1,200,trustworthy
1,4,4,300,untrustworthy
4,1,2,200,trustworthy
4,1,1,200,trustworthy
4,1,1,200,trustworthy
4,1,1,200,trustworthy
1,4,4,300,untrustworthy
4,1,2,200,trustworthy
4,1,1,200,trustworthy
4,1,1,200,trustworthy
4,1,1,200,trustworthy
1,4,4,300,untrustworthy
4,1,2,200,trustworthy
4,1,1,200,trustworthy
4,1,1,200,trustworthy
1,4,4,300,untrustworthy
4,1,2,200,trustworthy
4,1,1,200,trustworthy
4,1,1,200,trustworthy
4,1,1,200,trustworthy
1,4,4,300,untrustworthy
1,4,1,300,untrustworthy
4,1,3,200,trustworthy
4,1,1,200,trustworthy
4,1,1,200,trustworthy
1,4,4,300,untrustworthy
1,4,1,300,untrustworthy
4,1,3,200,trustworthy
4,1,1,200,trustworthy
4,1,1,200,trustworthy
4,1,1,200,trustworthy
1,4,4,300,untrustworthy
1,4,1,300,untrustworthy
4,1,3,200,trustworthy
4,1,1,200,trustworthy
4,1,1,200,trustworthy
4,1,1,200,trustworthy
1,4,4,300,untrustworthy
4,1,2,200,trustworthy
4,1,1,200,trustworthy
4,1,1,200,trustworthy
1,4,4,300,untrustworthy
1,4,1,300,untrustworthy
4,1,3,200,trustworthy
4,1,1,200,trustworthy
4,1,1,200,trustworthy
1,4,4,300,untrustworthy
4,1,2,200,trustworthy
4,1,1,200,trustworthy
4,1,1,200,trustworthy
1,4,4,300,untrustworthy
1,4,1,300,untrustworthy
4,1,3,200,trustworthy
4,1,1,200,trustworthy
4,1,1,200,trustworthy
1,4,4,300,untrustworthy
1,4,1,300,untrustworthy
4,1,3,200,trustworthy
4,1,1,200,trustworthy
4,1,1,200,trustworthy
4,1,1,200,trustworthy
1,4,4,300,untrustworthy
4,1,2,200,trustworthy
4,1,1,200,trustworthy
4,1,1,200,trustworthy
4,1,1,200,trustworthy
